Tb;CHx;CHx=CHx;AromCHx;AromCCHX;-OH;CHO;CHxCOO;HCOO;CHxO;CHxCO;CHxCl;Br;Cl(C=C);Azeo
0.13;3;0;0;0;0;0;0;0;0;0;1;0;0;1
0.42;4;0;0;0;0;0;0;1;0;0;0;0;0;0
0.04;3;0;0;0;0;0;0;0;0;0;1;0;0;1
1.09;10;0;0;0;0;0;0;0;0;0;0;0;0;0
0.05;0;0;0;0;0;0;0;0;1;0;1;0;0;1
0.52;4;0;0;0;0;0;0;0;0;1;0;0;0;0
0.18;4;1;0;0;0;0;0;0;0;0;0;0;0;1
0.04;6;0;0;0;0;0;0;0;0;0;0;0;0;1
0.38;3;0;0;0;0;0;0;0;0;1;0;0;0;0
0.08;0;1;0;0;0;0;1;0;0;0;0;0;0;1
0.28;3;1;0;0;0;0;0;0;0;0;0;0;0;1
0.59;2;0;0;0;1;0;0;0;1;0;0;0;0;0
0.74;0;0;4;2;0;0;0;0;0;0;0;0;0;0
0.12;2;0;0;0;0;0;1;0;0;0;0;0;0;1
0.39;4;0;0;0;0;0;0;0;2;0;0;0;0;0
0.01;4;0;0;0;0;0;0;0;1;0;0;0;0;1
0.89;0;0;6;0;0;0;0;0;1;0;0;0;0;0
0.33;3;1;0;0;0;0;0;0;0;0;0;0;0;1
0.21;2;2;0;0;0;0;0;0;0;0;0;0;0;1
0.37;4;0;0;0;0;0;0;0;0;0;0;1;0;1
0.15;5;0;0;0;0;0;0;0;0;0;0;0;0;1
0.11;2;0;0;0;0;0;0;1;0;0;0;0;0;1
0.35;3;1;0;0;0;0;0;0;0;0;0;0;0;1
0.19;0;0;0;0;0;0;0;0;0;0;2;0;0;1
0.61;8;0;0;0;0;0;0;0;0;0;0;0;0;1
0.37;1;1;0;0;0;1;0;0;0;0;0;0;0;0
0.74;0;0;4;2;0;0;0;0;0;0;0;0;0;0
0.91;8;1;0;0;0;0;0;0;0;0;0;0;0;1
0.26;3;1;0;0;0;0;0;0;0;0;0;0;0;1
0.05;3;0;0;0;0;0;0;0;0;0;0;1;0;1
0.26;3;0;0;0;0;0;1;0;0;0;0;0;0;1
0.07;6;0;0;0;0;0;0;0;0;0;0;0;0;1
0.06;4;0;0;0;0;0;0;0;1;0;0;0;0;1
0.14;2;0;0;0;1;0;0;0;0;0;0;0;0;0
0.27;2;0;0;0;0;0;0;0;0;0;0;1;0;1
0.42;1;0;0;0;0;0;0;0;0;0;1;1;0;0
0.53;4;0;0;0;1;0;0;0;0;0;0;0;0;0
0.33;1;0;0;0;0;0;0;1;0;0;0;0;0;0
0.1;3;0;0;0;0;1;0;0;0;0;0;0;0;0
0.3;3;1;0;0;0;0;0;0;1;0;0;0;0;1
0.15;2;0;0;0;0;0;0;0;0;1;0;0;0;1
0.15;2;0;0;0;0;0;1;0;0;0;0;0;0;1
0.09;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0.06;3;0;0;0;0;0;0;0;0;0;0;1;0;1
0.32;1;0;0;0;0;0;0;0;0;0;2;0;0;1
0.12;0;1;0;0;0;1;0;0;0;0;0;0;0;0
0.42;3;1;0;0;0;0;0;0;0;0;0;0;0;1
0.08;1;0;0;0;0;0;1;0;0;0;0;0;0;1
0.07;6;0;0;0;0;0;0;0;0;0;0;0;0;1
0.51;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0.37;3;0;0;0;0;0;1;0;0;0;0;0;0;0
0.15;0;0;6;0;0;0;0;0;0;0;0;0;0;1
0.18;3;0;0;0;1;0;0;0;0;0;0;0;0;0
0.01;3;0;0;0;0;1;0;0;0;0;0;0;0;1
0.28;2;0;0;0;0;0;0;0;0;0;1;0;0;1
0.44;4;0;0;0;0;0;0;0;0;0;1;0;0;0
0.36;7;0;0;0;0;0;0;0;0;0;0;0;0;1
0.27;4;0;0;0;0;0;0;0;0;0;0;1;0;1
0.01;3;0;0;0;0;0;0;0;1;0;0;0;0;1
0.18;2;0;0;0;0;0;0;0;0;0;1;0;0;1
0.36;2;0;0;0;0;0;0;0;2;0;0;0;0;0
0.38;3;0;0;0;0;0;1;0;0;0;0;0;0;0
0.45;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1.05;7;0;0;0;0;0;0;0;0;1;0;0;0;0
0.48;0;1;0;0;0;0;0;0;0;0;0;2;0;0
0.16;0;1;0;0;0;0;0;0;0;0;0;0;2;1
0.71;1;0;5;1;0;0;0;0;0;0;0;0;0;0
0.3;3;0;0;0;0;0;0;0;1;0;0;0;0;0
0.67;2;0;0;0;0;0;0;0;0;0;0;2;0;0
0.34;7;0;0;0;0;0;0;0;0;0;0;0;0;1
0.95;2;0;5;1;0;0;0;0;0;0;0;0;0;0
0.34;7;0;0;0;0;0;0;0;0;0;0;0;0;1
0.16;2;2;0;0;0;0;0;0;0;0;0;0;0;1
1.58;2;0;0;0;0;0;0;0;0;0;0;0;0;0
1.13;6;2;0;0;0;0;0;0;0;0;0;0;0;1
0.46;0;0;5;1;0;0;0;0;0;0;0;0;0;1
0.33;4;0;0;0;0;0;0;1;0;0;0;0;0;1
0.16;3;0;0;0;0;0;0;1;0;0;0;0;0;1
0.37;5;0;0;0;0;0;0;0;0;0;0;0;0;1
0.23;1;2;0;0;0;0;0;0;0;0;0;0;0;1
0.34;3;0;0;0;0;0;1;0;0;0;0;0;0;0
0.29;5;0;0;0;0;0;0;0;0;0;0;0;0;1
0.28;5;0;0;0;0;0;0;0;1;0;0;0;0;1
0.56;0;1;0;0;0;0;0;0;0;0;0;0;4;1
0.15;6;0;0;0;0;0;0;0;0;0;0;0;0;1
0.16;2;0;0;0;0;1;0;0;0;0;0;0;0;0
